"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Builds\Next JS\hypercomms\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 15, 35
"d:\Builds\Next JS\hypercomms\components\Avatar.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"d:\Builds\Next JS\hypercomms\components\CentreColumnChat.js", "JavaScript", 200, 0, 0, 0, 0, 9, 32, 241
"d:\Builds\Next JS\hypercomms\components\CentreColumnDashboard.js", "JavaScript", 211, 0, 0, 0, 0, 8, 24, 243
"d:\Builds\Next JS\hypercomms\components\ChatArea.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"d:\Builds\Next JS\hypercomms\components\ContactCard.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"d:\Builds\Next JS\hypercomms\components\CustomInput.js", "JavaScript", 17, 0, 0, 0, 0, 0, 2, 19
"d:\Builds\Next JS\hypercomms\components\IconButton.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"d:\Builds\Next JS\hypercomms\components\Landing.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"d:\Builds\Next JS\hypercomms\components\LeftColumn.js", "JavaScript", 53, 0, 0, 0, 0, 0, 9, 62
"d:\Builds\Next JS\hypercomms\components\LinkButton.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"d:\Builds\Next JS\hypercomms\components\Loading.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"d:\Builds\Next JS\hypercomms\components\Message.js", "JavaScript", 130, 0, 0, 0, 0, 6, 19, 155
"d:\Builds\Next JS\hypercomms\components\RightColumn.js", "JavaScript", 26, 0, 0, 0, 0, 0, 5, 31
"d:\Builds\Next JS\hypercomms\components\RoomCard.js", "JavaScript", 44, 0, 0, 0, 0, 0, 8, 52
"d:\Builds\Next JS\hypercomms\components\TextButton.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"d:\Builds\Next JS\hypercomms\firebase.js", "JavaScript", 15, 0, 0, 0, 0, 2, 4, 21
"d:\Builds\Next JS\hypercomms\functions\sentTimeAgo.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 22
"d:\Builds\Next JS\hypercomms\next.config.js", "JavaScript", 12, 0, 0, 0, 0, 1, 2, 15
"d:\Builds\Next JS\hypercomms\package-lock.json", "JSON", 0, 0, 0, 0, 4216, 0, 1, 4217
"d:\Builds\Next JS\hypercomms\package.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"d:\Builds\Next JS\hypercomms\pages\_app.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"d:\Builds\Next JS\hypercomms\pages\api\hello.js", "JavaScript", 3, 0, 0, 0, 0, 1, 2, 6
"d:\Builds\Next JS\hypercomms\pages\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"d:\Builds\Next JS\hypercomms\pages\signIn.js", "JavaScript", 57, 0, 0, 0, 0, 0, 11, 68
"d:\Builds\Next JS\hypercomms\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\Builds\Next JS\hypercomms\public\vercel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"d:\Builds\Next JS\hypercomms\styles\Home.module.css", "CSS", 0, 112, 0, 0, 0, 0, 18, 130
"d:\Builds\Next JS\hypercomms\styles\globals.css", "CSS", 0, 3, 0, 0, 0, 0, 2, 5
"d:\Builds\Next JS\hypercomms\tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 1, 1, 12
"Total", "-", 936, 115, 4, 20, 4241, 28, 192, 5536
